oblast,alert_episodes,total_alert_hours,avg_duration_hours,median_duration_hours
Donetska oblast,13754,31626,2.2994038098007854,1.0
Kharkivska oblast,13008,24872,1.9120541205412054,1.0
Zaporizka oblast,13372,21418,1.6017050553395153,1.0
Sumska oblast,8156,20154,2.4710642471799904,1.0
Dnipropetrovska oblast,11130,16696,1.5000898472596587,1.0
Poltavska oblast,7986,14688,1.8392186326070623,1.0
Mykolaivska oblast,7362,12148,1.650095082857919,1.0
Chernihivska oblast,5026,11326,2.253481894150418,1.0
Kirovohradska oblast,6688,11284,1.687200956937799,1.0
Khersonska oblast,7150,11222,1.5695104895104894,1.0
Kyivska oblast,3900,8678,2.2251282051282053,1.0
Cherkaska oblast,4918,8288,1.6852379015860106,1.0
Odeska oblast,4822,7356,1.5255080879303193,1.0
Kyiv City,3951,6844,1.7322196912174133,1.0
Zhytomyrska oblast,2932,6088,2.0763983628922236,1.0
Vinnytska oblast,2964,5508,1.8582995951417005,1.0
Khmelnytska oblast,2060,3902,1.8941747572815535,1.5
Rivnenska oblast,1784,3038,1.702914798206278,1.0
Ternopilska oblast,1684,2822,1.675771971496437,1.0
Volynska oblast,1600,2548,1.5925,1.0
Chernivetska oblast,1494,2530,1.6934404283801874,1.0
Ivano-Frankivska oblast,1484,2406,1.6212938005390836,1.0
Lvivska oblast,1490,2378,1.595973154362416,1.0
Zakarpatska oblast,1328,2098,1.5798192771084338,1.0
