rank,oblast,total_alert_hours
1,Dnipropetrovska oblast,30655
2,Kharkivska oblast,25273
3,Donetska oblast,25119
4,Sumska oblast,18150
5,Zaporizka oblast,17810
6,Poltavska oblast,12375
7,Chernihivska oblast,12284
8,Mykolaivska oblast,9877
9,Khersonska oblast,9605
10,Kirovohradska oblast,8727
11,Cherkaska oblast,7581
12,Kyivska oblast,7323
13,Odeska oblast,6548
14,Zhytomyrska oblast,4654
15,Kyiv City,4437
16,Vinnytska oblast,3965
17,Khmelnytska oblast,2878
18,Rivnenska oblast,2411
19,Ternopilska oblast,2003
20,Volynska oblast,1886
21,Chernivetska oblast,1822
22,Lvivska oblast,1722
23,Ivano-Frankivska oblast,1718
24,Zakarpatska oblast,1613
